id;code;composer;country;first_name;middle_name;last_name
28139;CEN0000000000FF0;freekind.;EN;freekind.;;
28140;CEN0000000000AA0;aksel arvid;EN;aksel;;arvid
28141;CKR0000000000DD0;ditch david;KR;ditch;;david
28142;CKR0000000000DD0;divahh;KR;divahh;;
28143;CEN0000000000EE0;ecy;EN;ecy;;
28144;CEN0000000000LJ0;johan lenox;EN;johan;;lenox
28145;CEN0000000000KK0;kamille;EN;kamille;;
28146;CEN0000000000SS0;sagun;EN;sagun;;
28147;CEN0000000000AA0;alexmaax;EN;alexmaax;;
28148;CEN0000000000AA0;apl.de.ap;EN;apl.de.ap;;
28149;CKR0000000000AA0;arcon;KR;arcon;;
28150;CKR0000000000WA0;aron wyme;KR;aron;;wyme
28151;CEN0000000000AA0;ayokay;EN;ayokay;;
28152;CKR0000000000BB0;baard;KR;baard;;
28153;CKR0000000000BB0;basecamp;KR;basecamp;;
28154;CKR0000000000BB0;Bay;KR;Bay;;
28155;CEN0000000000BB0;bbnoS;EN;bbnoS;;
28156;CEN0000000000BB0;Beabadoobee;EN;Beabadoobee;;
28157;CKR0000000000WB0;bj wnjn;KR;bj;;wnjn
28158;CEN0000000000BB0;blackbear;EN;blackbear;;
28159;CEN0000000000BB0;bludnymph;EN;bludnymph;;
28160;CEN0000000000BB0;bulow;EN;bulow;;
28161;CEN0000000000BB0;busbee;EN;busbee;;
28162;CKR0000000000CC0;chaeryn;KR;chaeryn;;
28163;CKR0000000000CC0;chAN's;KR;chAN's;;
28164;CEN0000000000CC0;charlieonnafriday;EN;charlieonnafriday;;
28165;CEN0000000000CC0;chiyoonhae;EN;chiyoonhae;;
28166;CEN0000000000MC0;chris made;EN;chris;;made
28167;CEN0000000000CC0;collapsedone;EN;collapsedone;;
28168;CEN0000000000DDG;d.a. got that dope;EN;d.a.;got that;dope
28169;CEN0000000000DD0;d4vd;EN;d4vd;;
28170;CKR0000000000DD0;dainasaurs;KR;dainasaurs;;
28171;CKR0000000000DD0;damnboy!;KR;damnboy!;;
28172;CKR0000000000DD0;deulrejang;KR;deulrejang;;
28173;CEN0000000000DD0;dhruv;EN;dhruv;;
28174;CEN0000000000DD0;Dijon;EN;Dijon;;
28175;CKR0000000000DD0;dress;KR;dress;;
28176;CKR0000000000DD0;dwilly;KR;dwilly;;
28177;CKR0000000000EE0;e.one;KR;e.one;;
28178;CEN0000000000EE0;earattack;EN;earattack;;
28179;CKR0000000000GG0;gimjonny;KR;gimjonny;;
28180;CEN0000000000GG0;glaive;EN;glaive;;
28181;CEN0000000000GG0;gnash;EN;gnash;;
28182;CKR0000000000GG0;gxxdkelvin;KR;gxxdkelvin;;
28183;CKR0000000000HH0;h3hyeon;KR;h3hyeon;;
28184;CKR0000000000HH0;hongsamman;KR;hongsamman;;
28185;CKR0000000000II0;iHwak;KR;iHwak;;
28186;CEN0000000000II0;iLoveMakonnen;EN;iLoveMakonnen;;
28187;CEN0000000000II0;inverness;EN;inverness;;
28188;CKR0000000000JJ0;jaguaa;KR;jaguaa;;
